,id,reviewContent,createDate,reviewScore
0,3372582594,늘 먹던 제품이에요 장에 정말 좋아요,2022-02-21T10:33:10.678+0000,5
1,3373433141,입자도 곱고 달지 않아서 좋아요,2022-02-22T12:48:56.464+0000,5
2,3355516415,저한테는 없으면 안될만큼 좋은 것 같아요 앞으로도 계속 주문할거예요 라이브행사나 이벤트가 많으면 더 좋을거 같아요 여러가지로 만족합니다,2022-01-26T15:52:10.532+0000,4
3,3373770083,잘먹고있어요 재주문이에요,2022-02-23T03:15:38.275+0000,5
4,3371370126,재구매입니다 제 장이 뭐랄까엄청 예민한 것도 아니고엄청 둔한 것도 아니지만 뭔가 불편한 장이었는데 이 유산균 먹고 많이 나아졌어요 전에 다른 유산균 먹다가 효과가 별로 없는 것 같아서 이걸로 사본건데 너무 좋아영,2022-02-19T11:49:10.984+0000,5
5,3355514809,항상 만족하고 있어요 효과가 좋아 계속 주문하게 되요 장건강이 좋아지니 면역력도 높아진거 같아요 배송빠르고 포장도 꼼꼼해서 믿음이 가요,2022-01-26T15:47:58.609+0000,4
6,3373785735,늘 구매하는 제품입니다,2022-02-23T03:39:02.546+0000,5
7,3369316270,맛잇어요 늘 공복에먹습니다,2022-02-17T00:20:25.878+0000,5
8,3371890391,이거 진짜 강추 진짜 달라짐 속는셈치고 먹어보세요 ,2022-02-20T09:43:59.475+0000,5
9,3367853580,빠른배송감사해요잘받았습니다,2022-02-15T05:17:38.545+0000,5
10,3372136650,먹고 변이 잘나온다던가 가스가 줄어든다든가 하는 좋은점이 하나도 없어요  한달 먹으면 효과있나요 나에겐 아무런 효과가 없이 이거 먹고 제대로 시원하게 변을 본적이 없어요 이상하네요,2022-02-20T23:32:46.629+0000,2
11,3366318408,효과가 좋습니다 몇년째  구입하고 있어요,2022-02-13T00:32:24.499+0000,5
12,3367258088,전에도 이거 먹고 컨디션 좋아지는 느낌이었어서 다시 사봤어요,2022-02-14T06:40:18.976+0000,5
13,3372754665,항상 믿고 구매합니다,2022-02-21T16:14:08.755+0000,4
14,3365328816,전부터 프로스랩 프리바이오틱스 먹어봐서 유산균도 좋을것같아 구매했어요,2022-02-11T11:28:04.503+0000,3
15,3368815325,저한테는 효과 좋아서 년째 이것만 먹고 있어요,2022-02-16T07:25:40.936+0000,5
16,3371832246,항상먹는제품입니다,2022-02-20T07:45:14.360+0000,5
17,3368730673,배송도 빠르고 늘 구매하는 제품입니다,2022-02-16T05:48:14.267+0000,5
18,3368913423,패밀리 유산균 가족들이 먹기에 좋아요,2022-02-16T09:16:37.273+0000,4
19,3366520636,효과보다는 꾸준히 맏고 구매해서 먹고 잇어요,2022-02-13T05:23:12.459+0000,5
20,3351529373,좋은유산균 찾다가  화학부형제없는게 좋다고해세 계속 재구매해서 먹고 있어요 장안좋았는데 많이 좋아졌어요  좋아요 잘먹을께요,2022-01-21T03:54:48.000+0000,5
21,3358424717,제일 효과좋고 다른것들은 이거 후로 안먹어요 유산균 만큼은 좋은거 먹어야한다더라구요,2022-02-02T11:31:43.745+0000,5
22,3373526967,이번에도 빠른 배송 합니다,2022-02-22T14:41:16.202+0000,5
23,3370598236,좋아요 꾸준히 먹고잇어요,2022-02-18T10:07:56.313+0000,5
24,3338546515,유산균 제품 찾아보다가 여러가지 조건 충족하는게 이 제품이라 비싸도 구매햇습니다 효과는 일단 먹어봐야 알겟지만 원래 먹던 유산균보다 단맛이 덜하긴 하네요 비싼만큼 효과가 잇으면 좋겟네요 먹어보고 좋으면 계속 구매할 생각입니다 배송 빨라서 넘 좋앗고 포장이 참 깔끔해요,2022-01-04T03:28:51.651+0000,4
25,3371090263,선물로 샀는데 드신분이 아직은 몇번 먹어서 모르겠지만 뭔가 장이 살짝 활발해진느낌이 든다고 하네요 꾸준히 드셔보신데요,2022-02-19T04:50:15.335+0000,5
26,3360635124,포장도 잘 되어있고 깔끔하고 좋네요 효과도 좋길 바랍니다,2022-02-06T00:00:45.022+0000,5
27,3371515913,아버님 연세가 많으셔서 그런지 처음엔 좋은듯했으나 효과가 좀 떨어지네요 어머님은 아직까지는 괜찮다고 하시네요,2022-02-19T17:05:14.803+0000,3
28,3367832842,잘받았습니다 꾸준히 잘먹고 있습니다,2022-02-15T04:50:40.840+0000,5
29,3360558511,담낭절제술 후 소화불량과 설사가 심했는데 이 유산균 복용 후 많이 나아져 재구매해요,2022-02-05T15:37:07.438+0000,5
30,3309417025,진쫘 이렇게 효과 좋은 유산균 또 없다구요 유산균 바꿔 먹은지 벌써 달 째인데 이렇게 화장실 잘가는 유산균도 없었어용 이전에는 락 여에 같은 브랜드에서도 유산균 사서 먹었었는데 싸고 비싸고 중요한게 아니라 효과가 도 없어서 유산균은 전부 그런가보다 했는데 친구가 이거 추천해주고 뭐 얼마나 좋겠어 싶은 마음으로 챙겨 먹기 시작한 건데 이럴수가 진짜 좋은 제품은 효과가 이렇게 직빵으로 오나봐요 주위에 지인들한테도 막 소개시켜 주고 잇어요 일단 배송이 예전보다 더 빨라진 것 같아서 아주 만족스럽 구요 특히 첨가물 같은 게 일채 들어 있지 않아서 안심하고 먹을 수 있다는 점도 아주 좋았어요 저는 혼자 챙겨 먹지만 가족단위 집에서도 챙겨 먹기 좋을 것 같아용 그리고 특히 애들도 좋아할 것 같은 과자스러운 맛 진짜 고소하니 간식처럼 챙겨 먹게 되니까 매일 하루도 빠지지 않고 먹을 수 있어서 아주 좋았어요 앞으로도 꾸준히 챙겨 먹으려구용 감사합니당,2021-11-24T01:06:10.128+0000,5
31,3357425649,먹고있는 유산균인데 라이브방송보고 구매했어요 배송빨랐구요 제품은 너무 만족합니다,2022-01-30T02:57:04.375+0000,5
32,3354640115,없으면 안되는 제품이에요 다른 거 먹어볼까하고 먹어봤다가 항상 다시 돌아오게돼요 라이브 기다렸다가 할인받아 사서 너무 좋습니다,2022-01-25T12:55:21.266+0000,5
33,3350914172,엄마 유산균 다 돼가서 주문 했어요 유통기한도 넉넉 하고요 포장도 아이스팩에 꼼꼼하게 배송돼서 왔네용,2022-01-20T08:20:04.345+0000,5
34,3359040941,설 연휴로 배송을 조금 늦게 받긴 했는데 꾸준히 먹고 있는 유산균이에요 만족합니다,2022-02-03T16:37:26.815+0000,5
35,3360237550,여러번 재구매했어요맛있고 효과좋음,2022-02-05T09:07:16.575+0000,5
36,3366298967,효과 좋아서 항상 이것만 먹어요,2022-02-12T23:38:02.176+0000,5
37,3368608368,늘먹고 있어요 좋아요,2022-02-16T03:09:50.504+0000,5
38,3367498988,너무 좋은데 가격이 좀 잇죠잉  언제 인벤트 한 가시죠 저 이젠 단골인데겁나 사먹었는데 기대합니다이벤트 함 거하게 가세욤,2022-02-14T13:38:06.107+0000,5
39,3373931887,종종 애용하는 상품이라 크게 더할 말은 없지만 확실히 다른 유산균보다 효과가 있는 걸 느껴요,2022-02-23T06:46:46.165+0000,5
40,3356186572,라방때 장바구니 넣고 애기 재우고 바로 시켰더니 라방 시간 안에 안시켜서 사은품 안줌 공지되어있었으면 안시켰음  상담 불친절,2022-01-27T14:17:40.576+0000,1
41,3365909406,항상 구매하는 제품입니다,2022-02-12T07:08:55.748+0000,5
