id,reviewContent,createDate,reviewScore,repurchase,Unnamed: 0
3372408868,나이를 한살한살 먹어가며 느끼는 것중에 하나가 건강할 때 관리를 잘해야 되겠다는 생각이에요. 조금만 잘못먹더라도 탈이 날때가 많아서 요즘에는  무엇하나 편안하게 먹을 수도 없는 요즘이죠.  주위에서 유산균으로 장내 환경을 개선시키라는말에 찾아보게 되었고 그 중 프로스랩 패밀리 프로바이오틱스를 알게 되었는데 리뷰면 리뷰 품질이면 품질 모두 좋아서 이번에 구매를 해보았죠.  우선 포로 들어있어서 먹기에도 편했고 유산균이 무려 100억마리!!!가 들어있다는 게 그저 놀라웠답니다. 더구나 무첨가물 제품인데도 고소한 맛이 나서 꾸준히 먹기에 충분했다는 거~  아직 복용한지는 2틀째 밖에 되지 않아 효과가 나타나긴 힘들겠지만 만족감 하나만큼은 최상입니다. 한달 정도 꾸준히 먹어보고 괜찮으면 리뷰달러 오도록 할게요!,2022-02-21,5,,
3372610169,유통기한 길고 배송 엄청 빠르네요 하루만에 도착했어요 스트로폼에 배송온게 있길래 이게 뭔가했는데 프로스랩 유산균이더라구요 포장 꼼꼼하게 잘 돼있어서 좋네요 배송 온 날부터 하루에 한포씩 뜯어먹고있는데 공복에 먹는게 좋대서 공복일때 아침에 일어나자마자 먹고 있어요 근데 확실히 유산균 먹기 전과 후 삶의 질이 완전 달라졌다고 할 수 있을 정도로 효과가 좋아요! 제가 심하면 일주일에 두번 정도만 화장실을 갔었는데 이거 먹고 나서는 하루에 한번씩 꼬박 꼬박 화장실가네요~^^ 효과 이렇게 빨리 볼 수 있을 거라고는 생각 못했는데 잘 구입한 것 같아서 완전 대 만족이요! 냉장보관 하는게 좋다고 해서 전 냉장고 맨 위칸에 두고 먹는 중이에요 가루도 목에 걸리는거 없이 잘 넘어가서 저는 진짜 만족스러워하면서 먹고 있어요 친구들한테 추천도 하고요 ㅋㅋ 행사도 하고 있어서 친구들이랑 돈 나눠서 사도되겠네요 담에 한번 도전해봐야겠어요 넘 만족하는 영양제 올만에 픽 성공해서 좋네요~~,2022-02-21,5,,
3372684685,유투브 보다가 유산균이 마리수를 늘리기위해서 안좋은걸로 채울수도있다고 제대로 알아보고 사야된다는걸보고 그럴수도있겠다 싶더라구요 가격은 싼데 마리수가 많은걸 보고 유산균먹고 효과없다고 꾸준히 먹지않고 버리기 쉽상. 그러다가 좀 비싸더라도 좋은걸 먹어보자 싶어서 알아보다가 지인한테 프로스랩 패밀리 프로바이오틱스 유산균 추천받아서 구매했어요 첫번째로 마음에 들었던건 겨울인데도 배송중에 유산균이 죽지않도록 아이스박스에 아이스팩 2개까지 넣어서 배달온거보고 먹기도전에 대우받는 기분이었어요 믿음도생기구요 절취선이 따로있는게 아닌데도 바로 뜯어서 먹으면 되니까 먹는데도 전혀불편함없고 맛도 목넘김도 전체적으로 맘에들어요 저는 이거 부모님도 추천드리면 너무 좋을것같아서 한통 다먹어보고 집에도 보내려고 합니다,2022-02-21,5,,
3371111055,저희집 식구들 여기 유산균만 먹어요 ㅎㅎ  다른 영양제는 몰라도 유산균은 싼게 비지떡이더라구요 원래 올영에서 1+1행사하는거 싸게 왕창 사다 먹었는데 효과 하나도 없어서 이게 오히려 돈 버리는 거더라구요  남편이랑 첫째가 변비가 너무 심해서 화장실에서 맨날 죽치고 앉아있고 첫째애는 먹기도 많이 먹는데 2~3일에 화장실 한번씩 갔거든요 심할 때는 관장도 자주해줬구요 ㅠ 이거 먹고나서부턴 1일 1응아 하는데 자기가 참지못해서 화장실 달려가는 모습이 얼마나 기특하고 이쁘던지 ㅠㅠ 아이에게 싸는 기쁨을 알려줘서 고맙습니다 ㅎㅎ..,2022-02-19,5,,
3371893587,솔직히 요즘 사람들 유산균 많이 먹잖아요 그 만큼 유산균 회사도 많고요 저도 유산균이 좋다는 건 알고 있어서 이 회사 저회사 많이 먹어봤지만 프로스랩만치 괜찮았던 제품은 처음이었네요 배송왔을 땐 처음에 냉장으로 배송되서 왔길래 좀 신기했거든요 보장균수 유지를 위해서라고는 하는데 다른곳은 그냥 택배로 배송해주니까요 별 생각 없이 먹었는데 다음날 효과가 너무 좋았어요 물론 다른 유산균 먹어도 다음날 바로 효과를 봤었지만 프로스랩은 달랐답니다 체내 있는 안좋은 것들을 모두 배출해주는 느낌이었어요ㅎㅎ 게다가 헙성첨가물이나 화학부형제까지 들어가지 않는다고 하니 아이한테도 안심하고 줄수 있겠는거 있죠! 냉장고에 보관하고 하루 한포씩 온 가족 모두가 섭취하고 있답니다 인생 유산균이에요!,2022-02-20,5,,
3371132352,가끔 혈변도 볼 정도로 장이 너무 안좋았는데 거두절미하고 결론부터 말씀드리면 이거 먹고 장이 튼튼해졌다고 자부할수있어요 진짜 퍽하면 장꼬임 증상에 변비에 탈나서 설사 도지는거 아니면 진짜 응아를 못했는데 반년 정도 먹고난 지금은 정말 많이 좋아졌다는게 느껴져요 누구는 화장실 다녀오면 쾌변했다는 그 즐거운 표정짓는데 신기할 정도로 공감이 안됬넨드 이제는 무슨 기분인지 너무 잘알겠어요,2022-02-19,5,,
3371891868,프로스랩 유산균 진짜 좋아요!! 일단 배송 엄청 빨랐구요. 아이스팩에 아주 신선하게 제품 보내주셨어요~ 패밀리 프로바이오틱스 먹기 전에는 변비 때문에 수시로 배가 아프고 불편감이 하루종일 지속되었는데 요즘은 아침마다 굳이 신경쓰지 않아도 화장실에 잘 가니까 살겠네요ㅎㅎ 유산균이 이렇게 생활의 질을 높여주는지 몰랐답니다. 아무래도 100억 유산균이 보장되어서 그런것 같은데 구매 고민이신분들 이거 맛도 좋고 효과도 좋으니 고민하지 말고 구매해보세요~^^*,2022-02-20,5,,
3372871602,가족 전체가 같이먹을 수 있는 유산균으로 너무좋네요 그래서 패밀리 프로바이오틱스겠죠?? 전에 락토ㅍ 유산균 먹여보니 애가 너무시그러워하더라구요 그리고 또 알약은 넘기기 힘들어하고 그러다 친구가 이거 추천해줘서 먹게됐는데 주로 대부분 이것저것 먹어보던사람들이 여기서 효과보고 정착하더라구요 특히 남편은 장이 예민해서 회사갈때 특히 힘들어하는데 유산균먹고 진짜많이 나아졌어요 더 먹어봐야알겠지만 남편때문에라도 유산균 계속 주문할것 같아요,2022-02-22,5,,
3372907940,계속 구매하고 먹어왔던 제품입니다~ 프로스랩 패밀리 프로바이오틱스는 특히 사무직들한테 너무좋은거같아요 계속 앉아있다보면 화장실타이밍놓치고  불편하게 하루가 끝나고 그러거든요.. 근데 저는이거먹고 장트러블은 다 사라지고 그러다보니 한동안 까먹고 안먹었더니 역시나찾아오는... 그때 아 유산균효과를 보고있었구나 싶더라구요 그이후로는 빼먹지않고 챙겨먹고있습니다.,2022-02-22,5,,
3372723640,역시 배송 하루만에 왔고요 포장도 너무 꼼꼼하게 해주셔서 오늘도 기분 좋게 제품 받았습니다~^^ 저희집 냉장고 필수 유산균! 온가족이 함께 먹고 덕보고 있어요!! 아이들 있는 가정 어른들에게도 추천입니다!!,2022-02-21,5,,
